name,owner,createdAt,updatedAt,primaryLanguage,mergedPRs,releases,issues,closedIssues,stars
30-seconds-of-code,Chalarangelo,2017-11-29T17:35:03Z,2026-03-13T14:46:11Z,JavaScript,836,12,0,0,127067
open-webui,open-webui,2023-10-06T22:08:27Z,2026-03-13T15:46:41Z,Python,3379,154,0,0,127036
react-native,facebook,2015-01-09T18:10:16Z,2026-03-13T15:40:41Z,C++,959,446,0,0,125572
hello-algo,krahets,2022-11-04T11:08:34Z,2026-03-13T15:41:08Z,Java,968,10,0,0,123199
opencode,anomalyco,2025-04-30T20:08:00Z,2026-03-13T15:48:40Z,TypeScript,2733,735,0,0,121477
kubernetes,kubernetes,2014-06-06T22:56:04Z,2026-03-13T15:45:46Z,Go,64158,784,0,0,121103
electron,electron,2013-04-12T01:47:36Z,2026-03-13T14:43:54Z,C++,24671,1000,0,0,120462
free-for-dev,ripienaar,2015-03-18T21:06:26Z,2026-03-13T15:48:29Z,HTML,2906,0,0,0,119821
excalidraw,excalidraw,2020-01-02T01:04:43Z,2026-03-13T15:45:11Z,TypeScript,3849,14,0,0,118662
free-programming-books-zh_CN,justjavac,2013-11-04T01:59:19Z,2026-03-13T13:52:46Z,None,282,3,0,0,116451
node,nodejs,2014-11-26T19:57:11Z,2026-03-13T15:46:40Z,JavaScript,11932,487,0,0,116220
iptv,iptv-org,2018-11-14T22:00:57Z,2026-03-13T14:54:00Z,TypeScript,6832,0,0,0,112840
d3,d3,2010-09-27T17:22:42Z,2026-03-13T13:50:05Z,Shell,494,194,0,0,112532
three.js,mrdoob,2010-03-23T18:58:01Z,2026-03-13T15:35:46Z,JavaScript,15261,175,0,0,111332
rust,rust-lang,2010-06-16T20:39:03Z,2026-03-13T15:46:03Z,Rust,69721,147,0,0,111165
ui,shadcn-ui,2023-01-04T12:43:27Z,2026-03-13T15:46:41Z,TypeScript,1051,82,0,0,109425
rustdesk,rustdesk,2020-09-28T15:36:08Z,2026-03-13T15:16:58Z,Rust,3950,36,0,0,109234
axios,axios,2014-08-18T22:30:27Z,2026-03-13T12:30:21Z,JavaScript,1138,109,0,0,108644
Awesome-Hacking,Hack-with-Github,2016-03-30T15:47:10Z,2026-03-13T15:44:36Z,None,34,0,0,0,108287
TypeScript,microsoft,2014-06-17T15:28:39Z,2026-03-13T15:20:31Z,TypeScript,14858,215,0,0,108139
generative-ai-for-beginners,microsoft,2023-06-19T16:28:59Z,2026-03-13T15:19:57Z,Jupyter Notebook,542,0,0,0,107923
godot,godotengine,2014-01-04T16:05:36Z,2026-03-13T15:44:18Z,C++,41520,66,0,0,107782
GitHub-Chinese-Top-Charts,GrowingGit,2019-09-05T03:01:56Z,2026-03-13T14:47:47Z,Java,0,0,0,0,106822
deno,denoland,2018-05-15T01:34:26Z,2026-03-13T15:44:56Z,Rust,14406,369,0,0,106340
ComfyUI,Comfy-Org,2023-01-17T03:15:56Z,2026-03-13T15:47:10Z,Python,2252,127,0,0,105738
nodebestpractices,goldbergyoni,2017-09-15T08:33:19Z,2026-03-13T14:09:55Z,Dockerfile,766,0,0,0,105178
frp,fatedier,2015-12-21T15:24:59Z,2026-03-13T15:24:36Z,Go,761,109,0,0,105172
papers-we-love,papers-we-love,2013-12-15T14:31:41Z,2026-03-13T15:25:37Z,Shell,439,0,0,0,104047
tauri,tauri-apps,2019-07-13T09:09:37Z,2026-03-13T15:44:14Z,Rust,5409,0,0,0,104022
create-react-app,facebook,2016-07-17T14:55:11Z,2026-03-13T14:50:25Z,JavaScript,1949,83,0,0,103825
clash-verge-rev,clash-verge-rev,2023-11-21T18:24:03Z,2026-03-13T15:44:57Z,TypeScript,768,62,0,0,102513
terminal,microsoft,2017-08-11T18:38:22Z,2026-03-13T15:02:02Z,C++,4389,148,0,0,102172
DeepSeek-V3,deepseek-ai,2024-12-26T09:52:40Z,2026-03-13T15:36:09Z,Python,25,1,0,0,102119
awesome-llm-apps,Shubhamsaboo,2024-04-29T05:30:25Z,2026-03-13T15:49:01Z,Python,171,0,0,0,101927
awesome-mac,jaywcjlove,2016-07-17T15:33:47Z,2026-03-13T15:42:35Z,JavaScript,1089,14,0,0,100105
angular,angular,2014-09-18T16:12:01Z,2026-03-13T15:46:40Z,TypeScript,5771,618,0,0,100077
supabase,supabase,2019-10-12T05:56:49Z,2026-03-13T15:46:22Z,TypeScript,15756,26,0,0,98914
HowToCook,Anduin2017,2020-02-29T10:43:49Z,2026-03-13T15:25:51Z,Dockerfile,616,4,0,0,98763
v2rayN,2dust,2019-07-30T03:47:24Z,2026-03-13T15:41:04Z,C#,405,302,0,0,98662
every-programmer-should-know,mtdvio,2017-08-24T13:18:26Z,2026-03-13T15:37:45Z,None,110,0,0,0,98236
pytorch,pytorch,2016-08-13T05:26:41Z,2026-03-13T15:48:43Z,Python,6444,64,0,0,98205
material-ui,mui,2014-08-18T19:11:54Z,2026-03-13T15:45:22Z,JavaScript,21521,559,0,0,98001
llama.cpp,ggml-org,2023-03-10T18:58:00Z,2026-03-13T15:48:11Z,C++,7598,1000,0,0,97805
ant-design,ant-design,2015-04-24T15:37:24Z,2026-03-13T15:46:05Z,TypeScript,17135,741,0,0,97689
gemini-cli,google-gemini,2025-04-17T17:04:31Z,2026-03-13T15:46:33Z,TypeScript,5505,415,0,0,97551
neovim,neovim,2014-01-31T13:39:22Z,2026-03-13T15:46:03Z,Vim Script,17818,48,0,0,97148
fastapi,fastapi,2018-12-08T08:21:47Z,2026-03-13T15:46:08Z,Python,3173,269,0,0,96171
whisper,openai,2022-09-16T20:02:54Z,2026-03-13T15:42:48Z,Python,119,13,0,0,95882
thefuck,nvbn,2015-04-08T15:08:04Z,2026-03-13T15:30:36Z,Python,481,17,0,0,95683
Web-Dev-For-Beginners,microsoft,2020-11-10T02:44:00Z,2026-03-13T14:10:03Z,JavaScript,667,0,0,0,95416
immich,immich-app,2022-02-03T15:56:27Z,2026-03-13T15:46:41Z,TypeScript,8788,287,0,0,94637
clean-code-javascript,ryanmcdermott,2016-11-25T22:25:41Z,2026-03-13T14:09:51Z,JavaScript,149,0,0,0,94319
tailwindcss,tailwindlabs,2017-10-06T14:59:14Z,2026-03-13T15:46:07Z,TypeScript,3308,300,0,0,94011
puppeteer,puppeteer,2017-05-09T22:16:13Z,2026-03-13T15:34:50Z,TypeScript,5852,650,0,0,93803
java-design-patterns,iluwatar,2014-08-09T16:45:18Z,2026-03-13T15:34:38Z,Java,1520,0,0,0,93803
skills,anthropics,2025-09-22T15:53:31Z,2026-03-13T15:49:34Z,Python,22,0,0,0,92658
firecrawl,firecrawl,2024-04-15T21:02:29Z,2026-03-13T15:49:58Z,TypeScript,1397,32,0,0,92440
